pharos_id,dataset_id,sample_id,animal_id,host_species,host_species_ncbi_tax_id,spatial_uncertainty,collection_date,collection_method_or_tissue,detection_method,primer_sequence,primer_citation,detection_target,detection_target_ncbi_tax_id,detection_outcome,detection_measurement,detection_measurement_units,pathogen,pathogen_ncbi_tax_id,genbank_accession,detection_comments,organism_sex,dead_or_alive,health_notes,life_stage,age,mass,length,latitude,longitude,wkt
prjDRDdtkMtWe-setAKoePEch9e-recaGydcy8Huk,setAKoePEch9e,242,,Vulpes vulpes,9627,,2011-01-19,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,adult,,,,52.525514,13.405548,POINT(13.405548 52.525514)
prjDRDdtkMtWe-setAKoePEch9e-recctLtt6DU0h,setAKoePEch9e,243,,Vulpes vulpes,9627,,2011-01-24,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,adult,,,,52.515024,13.526381,POINT(13.526381 52.515024)
prjDRDdtkMtWe-setAKoePEch9e-recNfgVmDNdWc,setAKoePEch9e,244,,Vulpes vulpes,9627,,2011-01-31,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,adult,,,,52.544509,13.389667,POINT(13.389667 52.544509)
prjDRDdtkMtWe-setAKoePEch9e-recmeBephVvoY,setAKoePEch9e,245,,Vulpes vulpes,9627,,2011-02-01,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,adult,,,,52.412121,13.586016,POINT(13.586016 52.412121)
prjDRDdtkMtWe-setAKoePEch9e-recQIOVvY5PQM,setAKoePEch9e,246,,Vulpes vulpes,9627,,2011-02-25,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,adult,,,,52.48256,13.38898,POINT(13.38898 52.48256)
prjDRDdtkMtWe-setAKoePEch9e-rec1sX30mHovP,setAKoePEch9e,247,,Vulpes vulpes,9627,,2011-03-15,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,adult,,,,52.583954,13.416425,POINT(13.416425 52.583954)
prjDRDdtkMtWe-setAKoePEch9e-recZSfOhDMohW,setAKoePEch9e,248,,Vulpes vulpes,9627,,2011-03-21,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,adult,,,,52.436147,13.434972,POINT(13.434972 52.436147)
prjDRDdtkMtWe-setAKoePEch9e-recL6I4Ku81hQ,setAKoePEch9e,249,,Vulpes vulpes,9627,,2011-03-30,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,adult,,,,52.517524,13.599511,POINT(13.599511 52.517524)
prjDRDdtkMtWe-setAKoePEch9e-recMTNcK2oRLz,setAKoePEch9e,250,,Vulpes vulpes,9627,,2011-04-05,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,adult,,,,52.563659,13.453952,POINT(13.453952 52.563659)
prjDRDdtkMtWe-setAKoePEch9e-recCrOYurMsL8,setAKoePEch9e,251,,Vulpes vulpes,9627,,2011-04-06,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,adult,,,,52.560492,13.368488,POINT(13.368488 52.560492)
prjDRDdtkMtWe-setAKoePEch9e-recBUvQap52Tq,setAKoePEch9e,252,,Vulpes vulpes,9627,,2011-04-19,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,adult,,,,52.518989,13.605948,POINT(13.605948 52.518989)
prjDRDdtkMtWe-setAKoePEch9e-recWrRzPEqZ7s,setAKoePEch9e,254,,Vulpes vulpes,9627,,2011-04-26,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,juvenile,,,,52.49657,13.392498,POINT(13.392498 52.49657)
prjDRDdtkMtWe-setAKoePEch9e-rec7xrxEqcw3h,setAKoePEch9e,255,,Vulpes vulpes,9627,,2011-05-09,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,juvenile,,,,52.435541,13.387424,POINT(13.387424 52.435541)
prjDRDdtkMtWe-setAKoePEch9e-recFDnfMoi9I2,setAKoePEch9e,256,,Vulpes vulpes,9627,,2011-05-30,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,juvenile,,,,52.48143,13.605929,POINT(13.605929 52.48143)
prjDRDdtkMtWe-setAKoePEch9e-recP3noC5EYid,setAKoePEch9e,257,,Vulpes vulpes,9627,,2011-05-31,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,adult,,,,52.49504,13.453425,POINT(13.453425 52.49504)
